,ReptNo,Model,Strategy,Diagnostic_Level,Classes,Train/Test,f1_macro Score,Accuracy,Precision_macro,Recall_macro,Balanced_Accuracy,Confusion_Matrix,CV fold:Best Parameters
10,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Train,0.8150096415607986,0.8270676691729323,0.819936542145594,0.8119776049475262,0.8119776049475262,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=1,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=1,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 9, 'KNN_clf2__p': 1, 'KNN_clf2__weights': 'uniform'}"
11,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Test,0.717572156196944,0.7428571428571429,0.7406250000000001,0.7083333333333333,0.7083333333333333,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=1,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=1,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 9, 'KNN_clf2__p': 1, 'KNN_clf2__weights': 'uniform'}"
12,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Train,0.8172781821758803,0.8208955223880597,0.8204642039882314,0.8147221843623642,0.8147221843623642,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=8, p=1,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=8, p=1,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 8, 'KNN_clf2__p': 1, 'KNN_clf2__weights': 'uniform'}"
13,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Test,0.7014943074003795,0.7647058823529411,0.7482638888888888,0.68125,0.68125,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=8, p=1,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=8, p=1,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 8, 'KNN_clf2__p': 1, 'KNN_clf2__weights': 'uniform'}"
14,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Train,0.8033070337418163,0.8208955223880597,0.8253668604797504,0.7917268638408068,0.7917268638408068,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=7, p=2,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=7, p=2,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 7, 'KNN_clf2__p': 2, 'KNN_clf2__weights': 'uniform'}"
15,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Test,0.7533282130056324,0.7647058823529411,0.7760416666666666,0.75,0.75,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=7, p=2,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=7, p=2,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 7, 'KNN_clf2__p': 2, 'KNN_clf2__weights': 'uniform'}"
16,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Train,0.7965869106263195,0.8148148148148148,0.8130147353831565,0.7912546615752216,0.7912546615752216,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=1,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=1,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 9, 'KNN_clf2__p': 1, 'KNN_clf2__weights': 'uniform'}"
17,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Test,0.6737012987012987,0.696969696969697,0.6686507936507936,0.7172619047619048,0.7172619047619048,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=1,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=9, p=1,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 9, 'KNN_clf2__p': 1, 'KNN_clf2__weights': 'uniform'}"
18,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Train,0.8976212642371179,0.9044117647058824,0.8941306538289296,0.9014220595788391,0.9014220595788391,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=3, p=2,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=3, p=2,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 3, 'KNN_clf2__p': 2, 'KNN_clf2__weights': 'uniform'}"
19,0,KNeighborsClassifier,ALLIN,Stage 1,"(NF, SC, AD, PT)",Test,0.7240384615384615,0.75,0.775,0.7151785714285714,0.7151785714285714,,"{'memory': None, 'steps': [('KNN_clf2', KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=3, p=2,
                     weights='uniform'))], 'verbose': False, 'KNN_clf2': KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=3, p=2,
                     weights='uniform'), 'KNN_clf2__algorithm': 'ball_tree', 'KNN_clf2__leaf_size': 30, 'KNN_clf2__metric': 'minkowski', 'KNN_clf2__metric_params': None, 'KNN_clf2__n_jobs': None, 'KNN_clf2__n_neighbors': 3, 'KNN_clf2__p': 2, 'KNN_clf2__weights': 'uniform'}"
